182;Placas Base Intel Socket 2011
183;Placas Base Intel Socket 478
184;Placas Base Intel Socket 775
185;Portátiles
186;Presentadores Multimedia
187;Procesadores AMD Socket AM2/AM3
188;Procesadores AMD Socket FM1
189;Procesadores AMD Socket FM2
190;Procesadores Intel Socket 1150
191;Procesadores Intel Socket 1155
192;Procesadores Intel Socket 2011
193;Promociones y otros servicios
194;Protectores de Pantalla
195;Proyectores
196;Puntos de Acceso
197;Ratones
198;Redes Home Plug
199;Refrigeración Líquida
200;Regletas
201;Rejillas
202;Reproductores Blu-Ray
203;Reproductores DVD/DivX
204;Reproductores MP3/MP4
205;Reproductores Multimedia
206;Reproductores Portátiles
207;Repuestos/Reparación iPad
208;Repuestos/Reparación iPhone
209;Robots Aspiradoras
210;Routers
211;Sais
212;Seguridad y Vigilancia
213;Servidores Impresión
214;Sillas de oficina
215;Sintonizadoras Externas
216;Sintonizadoras Internas
217;Sistemas Operativos
218;Smartphone/Moviles
219;Software
220;Software Aplicaciones
221;Software Multimedia
222;Software TPV
223;Soportes
224;Soportes iPad
225;Soportes IPhone
226;Soportes para Tablets
227;Tabletas Digitales
228;Tablets
229;Tarjetas de Red
230;Tarjetas Gráficas AMD AGP
231;Tarjetas Gráficas AMD PCI Express
232;Tarjetas Gráficas Nvidia AGP
233;Tarjetas Gráficas Nvidia PCI Express
234;Tarjetas PCI
235;Tarjetas PCI Express
236;Tarjetas Sonido
237;TDT
238;Teclados
239;Teléfonos Inalámbricos
240;Televisores
241;Tinta OKI
242;Tinta Panasonic
243;Tinta Samsung
244;Tinta Samsung Original
245;Toner Compatible
246;Toner Original
247;Torres ATX
248;Trípodes
249;TV Satélite
250;Varios
251;Varios Electro-Hogar
252;Ventiladores Chipset
253;Ventiladores CPU
254;Ventiladores Disco Duro
255;Ventiladores Memoria
256;Ventiladores para Portátiles
257;Ventiladores Suplementarios 120x120
258;Ventiladores Suplementarios 80x80
259;Ventiladores Suplementarios Otras Medidas
260;Ventiladores VGA
261;Videocamaras
262;Videoconsolas Nintendo DS/3DS
263;Videoconsolas Nintendo Wii
264;Videoconsolas PS Vita
265;Videoconsolas PS3
266;Videoconsolas PS4
267;Volantes
268;Volantes PS3
269;Webcam
270;Xbox 360 Accesorios
271;Xbox 360 Baterías y cargadores
272;Xbox 360 Consola
273;Xbox 360 Juegos
274;Xbox 360 Mandos
